,state_id,state_num,year,ideology_score1,ideology_score2
1790,NM,31,2010,56.58449172973633,65.1710205078125
1791,NM,31,2011,51.33910369873047,43.75898361206055
1792,NM,31,2012,53.442745208740234,43.478370666503906
1793,NM,31,2013,56.40086364746094,44.42009353637695
1794,NM,31,2014,51.121578216552734,43.824554443359375
1795,NM,31,2015,54.49877166748047,39.35802459716797
1796,NM,31,2016,60.177921295166016,39.35802459716797
1797,NM,31,2017,,44.61860656738281
1798,NY,32,1960,67.1438980102539,38.41868209838867
1799,NY,32,1961,63.7142219543457,40.842926025390625
1800,NY,32,1962,63.61980438232422,40.71665573120117
1801,NY,32,1963,65.0720443725586,42.18844223022461
1802,NY,32,1964,66.70104217529297,42.18844223022461
1803,NY,32,1965,67.89584350585938,55.95116424560547
1804,NY,32,1966,65.31465148925781,49.66864776611328
1805,NY,32,1967,65.18359375,49.66669845581055
1806,NY,32,1968,72.87747955322266,49.66669845581055
1807,NY,32,1969,73.17364501953125,45.5081787109375
1808,NY,32,1970,68.22382354736328,45.5081787109375
1809,NY,32,1971,59.3776741027832,44.27399826049805
1810,NY,32,1972,57.704345703125,44.27399826049805
1811,NY,32,1973,60.172019958496094,42.160953521728516
1812,NY,32,1974,61.82755661010742,42.45024108886719
1813,NY,32,1975,67.73038482666016,63.12825393676758
1814,NY,32,1976,62.887290954589844,63.31348419189453
1815,NY,32,1977,63.28481674194336,63.202388763427734
1816,NY,32,1978,58.31459426879883,62.88319396972656
1817,NY,32,1979,61.652076721191406,62.28872299194336
1818,NY,32,1980,61.43320083618164,62.28872299194336
1819,NY,32,1981,54.859981536865234,62.41859436035156
1820,NY,32,1982,63.90121841430664,62.41859436035156
1821,NY,32,1983,61.44132614135742,63.33871841430664
1822,NY,32,1984,60.50267028808594,63.33871841430664
1823,NY,32,1985,64.88124084472656,63.45643615722656
1824,NY,32,1986,66.80472564697266,63.45643615722656
1825,NY,32,1987,67.8009033203125,63.36750030517578
1826,NY,32,1988,73.5046157836914,63.36750030517578
1827,NY,32,1989,68.61998748779297,64.80207824707031
1828,NY,32,1990,71.24956512451172,64.80207824707031
1829,NY,32,1991,72.02486419677734,64.11612701416016
1830,NY,32,1992,72.00557708740234,64.11612701416016
1831,NY,32,1993,70.73091888427734,64.34821319580078
1832,NY,32,1994,62.30810546875,64.34821319580078
1833,NY,32,1995,61.15750503540039,47.131996154785156
1834,NY,32,1996,64.2765884399414,47.131996154785156
1835,NY,32,1997,69.11575317382812,47.16606140136719
1836,NY,32,1998,71.92150115966797,47.16606140136719
1837,NY,32,1999,70.19918060302734,47.90742492675781
1838,NY,32,2000,60.58224105834961,47.068904876708984
1839,NY,32,2001,64.25971221923828,47.136959075927734
1840,NY,32,2002,60.75395584106445,47.136959075927734
1841,NY,32,2003,66.37564086914062,46.2821159362793
1842,NY,32,2004,72.58110809326172,46.2821159362793
1843,NY,32,2005,68.05103302001953,47.214927673339844
1844,NY,32,2006,74.71855926513672,46.65730667114258
1845,NY,32,2007,78.7663345336914,63.662628173828125
1846,NY,32,2008,80.37998962402344,64.23593139648438
1847,NY,32,2009,77.75810241699219,66.01585388183594
1848,NY,32,2010,64.27960205078125,66.01585388183594
1849,NY,32,2011,64.85184478759766,64.78417205810547
1850,NY,32,2012,60.71583557128906,64.78417205810547
1851,NY,32,2013,67.73976135253906,67.1858901977539
1852,NY,32,2014,66.0078125,67.21161651611328
1853,NY,32,2015,69.7125015258789,65.48941040039062
1854,NY,32,2016,74.57221984863281,65.48941040039062
1855,NY,32,2017,,67.66743469238281
1856,NC,33,1960,14.464150428771973,52.47556686401367
1857,NC,33,1961,21.097583770751953,52.638912200927734
1858,NC,33,1962,21.06492042541504,52.638912200927734
1859,NC,33,1963,23.623023986816406,53.173587799072266
1860,NC,33,1964,23.475200653076172,53.173587799072266
1861,NC,33,1965,2.5470833778381348,53.97803497314453
1862,NC,33,1966,2.283198595046997,53.97803497314453
1863,NC,33,1967,4.415139198303223,53.86317825317383
1864,NC,33,1968,4.261007308959961,53.86317825317383
1865,NC,33,1969,13.315386772155762,55.292869567871094
1866,NC,33,1970,16.634729385375977,55.292869567871094
1867,NC,33,1971,19.334308624267578,55.292869567871094
1868,NC,33,1972,14.121076583862305,55.292869567871094
1869,NC,33,1973,21.678064346313477,44.844696044921875
1870,NC,33,1974,19.857675552368164,44.844696044921875
1871,NC,33,1975,23.87377166748047,44.097923278808594
1872,NC,33,1976,27.572290420532227,44.097923278808594
1873,NC,33,1977,25.741262435913086,60.0704231262207
1874,NC,33,1978,22.139310836791992,60.0704231262207
1875,NC,33,1979,24.218399047851562,60.0704231262207
1876,NC,33,1980,24.599567413330078,60.0704231262207
1877,NC,33,1981,32.329864501953125,59.72262191772461
1878,NC,33,1982,23.844459533691406,59.72262191772461
1879,NC,33,1983,36.11636734008789,59.8926887512207
1880,NC,33,1984,30.8966007232666,59.8926887512207
1881,NC,33,1985,28.799238204956055,44.36724090576172
1882,NC,33,1986,38.129276275634766,44.36724090576172
1883,NC,33,1987,43.52318572998047,43.51875305175781
1884,NC,33,1988,47.96040344238281,43.51875305175781
1885,NC,33,1989,39.189674377441406,43.51875305175781
1886,NC,33,1990,34.76582336425781,43.51875305175781
1887,NC,33,1991,43.93537139892578,43.538734436035156
1888,NC,33,1992,42.73139953613281,43.538734436035156
1889,NC,33,1993,41.920448303222656,64.09078979492188
1890,NC,33,1994,40.62699890136719,64.09078979492188
1891,NC,33,1995,41.1375732421875,56.34468460083008
1892,NC,33,1996,42.28680419921875,56.34468460083008
1893,NC,33,1997,42.32942581176758,60.053829193115234
1894,NC,33,1998,44.680538177490234,60.053829193115234
1895,NC,33,1999,51.2949104309082,64.9920425415039
1896,NC,33,2000,38.041996002197266,64.9920425415039
1897,NC,33,2001,47.02397918701172,63.64087677001953
1898,NC,33,2002,44.0265007019043,63.816871643066406
1899,NC,33,2003,50.5471305847168,61.030338287353516
1900,NC,33,2004,45.76927185058594,62.34217071533203
1901,NC,33,2005,52.75735092163086,63.366336822509766
1902,NC,33,2006,54.123870849609375,63.366336822509766
1903,NC,33,2007,55.017581939697266,63.96995162963867
1904,NC,33,2008,62.431888580322266,63.96995162963867
1905,NC,33,2009,49.59363555908203,62.66301345825195
1906,NC,33,2010,45.647674560546875,62.66301345825195
1907,NC,33,2011,44.07426071166992,46.069400787353516
1908,NC,33,2012,40.83254623413086,46.069400787353516
1909,NC,33,2013,43.71823501586914,22.831993103027344
1910,NC,33,2014,33.85277557373047,22.831993103027344
1911,NC,33,2015,51.78697967529297,22.568748474121094
1912,NC,33,2016,52.382572174072266,22.568748474121094
1913,NC,33,2017,,45.701290130615234
1914,ND,34,1960,40.89195251464844,39.297332763671875
1915,ND,34,1961,45.25572967529297,53.62388610839844
1916,ND,34,1962,45.70198059082031,53.62388610839844
1917,ND,34,1963,49.67376708984375,53.77892303466797
1918,ND,34,1964,50.490440368652344,53.77892303466797
1919,ND,34,1965,41.789608001708984,60.34430694580078
1920,ND,34,1966,37.758705139160156,60.34430694580078
1921,ND,34,1967,37.05879211425781,54.77867126464844
1922,ND,34,1968,40.0637321472168,54.77867126464844
1923,ND,34,1969,53.88888168334961,54.77867126464844
1924,ND,34,1970,49.076690673828125,54.77867126464844
1925,ND,34,1971,52.265892028808594,56.70451354980469
1926,ND,34,1972,40.515892028808594,56.54338836669922
1927,ND,34,1973,54.52201843261719,55.87273406982422
1928,ND,34,1974,57.579864501953125,55.87273406982422
1929,ND,34,1975,46.07543182373047,55.87273406982422
1930,ND,34,1976,43.98479461669922,55.87273406982422
1931,ND,34,1977,40.724876403808594,59.01974105834961
1932,ND,34,1978,33.56163787841797,59.01974105834961
1933,ND,34,1979,42.2909049987793,55.87273406982422
1934,ND,34,1980,47.59442138671875,55.87273406982422
1935,ND,34,1981,52.657569885253906,45.42253494262695
1936,ND,34,1982,60.36083221435547,45.42253494262695
1937,ND,34,1983,73.87022399902344,48.871246337890625
1938,ND,34,1984,69.93698120117188,48.871246337890625
1939,ND,34,1985,65.00885772705078,56.712730407714844
1940,ND,34,1986,74.93323516845703,56.712730407714844
1941,ND,34,1987,68.93792724609375,58.95868682861328
1942,ND,34,1988,68.95703125,58.95868682861328
1943,ND,34,1989,60.03328323364258,60.78116989135742
1944,ND,34,1990,54.97822570800781,60.78116989135742
1945,ND,34,1991,59.342071533203125,60.242042541503906
1946,ND,34,1992,65.45597839355469,60.242042541503906
1947,ND,34,1993,58.625709533691406,47.133033752441406
1948,ND,34,1994,53.109657287597656,47.133033752441406
1949,ND,34,1995,59.391090393066406,42.75408935546875
1950,ND,34,1996,54.79085922241211,42.75408935546875
1951,ND,34,1997,52.01498794555664,32.2283935546875
1952,ND,34,1998,59.602806091308594,32.2283935546875
1953,ND,34,1999,62.083396911621094,32.2283935546875
1954,ND,34,2000,55.82480239868164,32.2283935546875
1955,ND,34,2001,61.33015060424805,32.04985046386719
1956,ND,34,2002,60.69654083251953,32.04985046386719
1957,ND,34,2003,54.67782974243164,40.252437591552734
1958,ND,34,2004,63.287689208984375,40.252437591552734
1959,ND,34,2005,65.04942321777344,32.38665008544922
1960,ND,34,2006,66.42569732666016,32.38665008544922
1961,ND,34,2007,62.82354736328125,33.69369125366211
1962,ND,34,2008,67.37831115722656,33.69369125366211
1963,ND,34,2009,52.25299072265625,32.79020690917969
1964,ND,34,2010,46.29197692871094,32.79020690917969
1965,ND,34,2011,41.00729751586914,32.97283935546875
1966,ND,34,2012,48.13717269897461,32.97283935546875
1967,ND,34,2013,44.26594543457031,31.388328552246094
1968,ND,34,2014,37.53583526611328,31.388328552246094
1969,ND,34,2015,29.470773696899414,31.388328552246094
1970,ND,34,2016,26.525793075561523,31.388328552246094
1971,ND,34,2017,,31.388328552246094
1972,OH,35,1960,50.46074295043945,60.54393005371094
1973,OH,35,1961,42.00580596923828,49.67841720581055
1974,OH,35,1962,42.010799407958984,49.80927658081055
1975,OH,35,1963,46.91535949707031,32.82752227783203
1976,OH,35,1964,48.465633392333984,32.82752227783203
1977,OH,35,1965,41.28481674194336,38.87975311279297
1978,OH,35,1966,37.81727600097656,38.87975311279297
1979,OH,35,1967,40.382266998291016,34.84062194824219
1980,OH,35,1968,50.75385284423828,34.84062194824219
1981,OH,35,1969,54.336734771728516,34.726783752441406
1982,OH,35,1970,49.85293960571289,34.726783752441406
1983,OH,35,1971,48.591697692871094,54.52056121826172
1984,OH,35,1972,50.92371368408203,54.52056121826172
1985,OH,35,1973,53.330055236816406,63.429325103759766
1986,OH,35,1974,56.140716552734375,63.429325103759766
1987,OH,35,1975,53.786251068115234,51.182167053222656
1988,OH,35,1976,47.635162353515625,51.182167053222656
1989,OH,35,1977,50.514686584472656,50.93171310424805
1990,OH,35,1978,44.33237075805664,50.93171310424805
1991,OH,35,1979,46.77157974243164,48.48651123046875
1992,OH,35,1980,45.36808776855469,48.48651123046875
1993,OH,35,1981,42.52450180053711,41.837947845458984
1994,OH,35,1982,50.243629455566406,41.837947845458984
1995,OH,35,1983,53.84260940551758,63.793582916259766
1996,OH,35,1984,49.2179069519043,63.793582916259766
1997,OH,35,1985,46.92631149291992,59.11835479736328
1998,OH,35,1986,51.30335235595703,59.11835479736328
1999,OH,35,1987,49.419979095458984,58.838226318359375
2000,OH,35,1988,56.99909973144531,58.838226318359375
2001,OH,35,1989,50.37643814086914,57.9034309387207
2002,OH,35,1990,50.585792541503906,57.9034309387207
2003,OH,35,1991,50.90388870239258,41.34006118774414
2004,OH,35,1992,54.722007751464844,41.34006118774414
2005,OH,35,1993,47.97804641723633,39.337703704833984
2006,OH,35,1994,43.27061462402344,39.337703704833984
2007,OH,35,1995,42.453033447265625,33.8329963684082
2008,OH,35,1996,45.829200744628906,33.8329963684082
2009,OH,35,1997,48.06721496582031,32.834510803222656
2010,OH,35,1998,49.076988220214844,32.834510803222656
2011,OH,35,1999,51.54340362548828,33.358253479003906
2012,OH,35,2000,44.70298767089844,33.21467590332031
2013,OH,35,2001,48.64760971069336,32.93608093261719
2014,OH,35,2002,43.818504333496094,33.08078384399414
2015,OH,35,2003,49.175018310546875,33.18482208251953
2016,OH,35,2004,52.15552520751953,33.18482208251953
2017,OH,35,2005,54.73086166381836,32.88608169555664
2018,OH,35,2006,54.903106689453125,32.726356506347656
2019,OH,35,2007,62.06680679321289,53.38684844970703
2020,OH,35,2008,62.288272857666016,53.38684844970703
2021,OH,35,2009,54.72670364379883,55.787174224853516
2022,OH,35,2010,45.75080108642578,55.787174224853516
2023,OH,35,2011,48.56257629394531,28.53730010986328
2024,OH,35,2012,48.520206451416016,28.53730010986328
2025,OH,35,2013,49.14134979248047,27.546043395996094
2026,OH,35,2014,46.11309814453125,27.546043395996094
2027,OH,35,2015,47.175254821777344,26.372520446777344
2028,OH,35,2016,50.380210876464844,26.372520446777344
2029,OH,35,2017,,26.55548858642578
2030,OK,36,1960,46.68137741088867,62.60419845581055
2031,OK,36,1961,39.352882385253906,62.2017822265625
2032,OK,36,1962,39.28893280029297,62.2017822265625
2033,OK,36,1963,43.77410888671875,49.040672302246094
2034,OK,36,1964,43.999114990234375,49.040672302246094
2035,OK,36,1965,36.561519622802734,50.025150299072266
2036,OK,36,1966,33.02462387084961,50.025150299072266
2037,OK,36,1967,29.166194915771484,50.691650390625
2038,OK,36,1968,23.763124465942383,50.691650390625
2039,OK,36,1969,31.420209884643555,48.68209457397461
2040,OK,36,1970,28.179174423217773,48.68209457397461
2041,OK,36,1971,36.62922286987305,64.16499328613281
2042,OK,36,1972,28.983909606933594,64.16499328613281
2043,OK,36,1973,29.728435516357422,60.05030059814453
2044,OK,36,1974,22.923620223999023,60.05030059814453
2045,OK,36,1975,27.69412612915039,59.9295768737793
2046,OK,36,1976,25.463743209838867,59.9295768737793
2047,OK,36,1977,19.89680290222168,57.25352096557617
2048,OK,36,1978,19.95359992980957,57.25352096557617
2049,OK,36,1979,22.311115264892578,58.09859085083008
2050,OK,36,1980,27.79864501953125,58.09859085083008
2051,OK,36,1981,29.10650062561035,56.698524475097656
2052,OK,36,1982,27.78657341003418,56.698524475097656
2053,OK,36,1983,35.46139907836914,56.698524475097656
2054,OK,36,1984,26.18379783630371,56.698524475097656
2055,OK,36,1985,25.836606979370117,56.698524475097656
2056,OK,36,1986,29.92601776123047,56.698524475097656
2057,OK,36,1987,36.017765045166016,41.17035675048828
2058,OK,36,1988,45.55487060546875,41.17035675048828
2059,OK,36,1989,30.504161834716797,41.17035675048828
2060,OK,36,1990,38.88869857788086,41.17035675048828
2061,OK,36,1991,36.30744934082031,56.65995788574219
2062,OK,36,1992,44.51517868041992,56.65995788574219
2063,OK,36,1993,31.623788833618164,56.65995788574219
2064,OK,36,1994,25.29560089111328,56.65995788574219
2065,OK,36,1995,17.684301376342773,38.40184020996094
2066,OK,36,1996,9.250916481018066,38.40184020996094
2067,OK,36,1997,18.96462631225586,39.37805938720703
2068,OK,36,1998,21.32510757446289,39.37805938720703
2069,OK,36,1999,24.86429786682129,39.70503234863281
2070,OK,36,2000,22.700407028198242,39.70503234863281
2071,OK,36,2001,32.224727630615234,39.65153121948242
2072,OK,36,2002,31.32009506225586,39.48064041137695
2073,OK,36,2003,32.341922760009766,55.64126968383789
2074,OK,36,2004,28.27134895324707,55.92823028564453
2075,OK,36,2005,28.906532287597656,46.95333480834961
2076,OK,36,2006,22.55731773376465,46.95333480834961
2077,OK,36,2007,27.225093841552734,45.05104446411133
2078,OK,36,2008,33.84333801269531,45.05104446411133
2079,OK,36,2009,21.13182830810547,41.921180725097656
2080,OK,36,2010,17.880264282226562,41.921180725097656
2081,OK,36,2011,21.7322940826416,23.68376922607422
2082,OK,36,2012,13.482376098632812,23.68376922607422
2083,OK,36,2013,24.05476188659668,22.513656616210938
2084,OK,36,2014,21.091102600097656,22.513656616210938
2085,OK,36,2015,23.069732666015625,24.7269287109375
2086,OK,36,2016,23.980825424194336,24.7269287109375
2087,OK,36,2017,,24.7269287109375
2088,OR,37,1960,62.86328125,54.81011199951172
2089,OR,37,1961,60.72587585449219,55.05533218383789
2090,OR,37,1962,60.60839080810547,55.05533218383789
2091,OR,37,1963,61.24778747558594,54.97568893432617
2092,OR,37,1964,61.639408111572266,54.97568893432617
2093,OR,37,1965,47.98143005371094,54.117706298828125
2094,OR,37,1966,43.6226806640625,54.117706298828125
2095,OR,37,1967,53.982421875,50.37726593017578
2096,OR,37,1968,54.23101806640625,50.37726593017578
2097,OR,37,1969,52.38230514526367,46.69601058959961
2098,OR,37,1970,52.5720329284668,46.69601058959961
2099,OR,37,1971,44.44236373901367,47.44886016845703
2100,OR,37,1972,45.494754791259766,47.44886016845703
2101,OR,37,1973,43.833953857421875,52.718814849853516
2102,OR,37,1974,54.4996223449707,52.718814849853516
2103,OR,37,1975,72.13575744628906,65.51811218261719
2104,OR,37,1976,60.457523345947266,65.51811218261719
2105,OR,37,1977,66.10314178466797,65.51811218261719
2106,OR,37,1978,54.97581481933594,65.51811218261719
2107,OR,37,1979,57.13175964355469,54.57243728637695
2108,OR,37,1980,60.60942459106445,54.57243728637695
2109,OR,37,1981,57.36475372314453,48.97300338745117
2110,OR,37,1982,68.54450225830078,48.97300338745117
2111,OR,37,1983,56.52190399169922,49.534706115722656
2112,OR,37,1984,56.6739501953125,49.534706115722656
2113,OR,37,1985,51.86094665527344,48.554656982421875
2114,OR,37,1986,58.70181655883789,48.554656982421875
2115,OR,37,1987,65.17717742919922,62.552955627441406
2116,OR,37,1988,64.695068359375,62.552955627441406
2117,OR,37,1989,64.12533569335938,64.12195587158203
2118,OR,37,1990,63.740299224853516,64.12195587158203
2119,OR,37,1991,67.40178680419922,64.09764099121094
2120,OR,37,1992,69.01617431640625,64.09764099121094
2121,OR,37,1993,66.76795959472656,64.25846862792969
2122,OR,37,1994,59.54074478149414,64.25846862792969
2123,OR,37,1995,56.53935241699219,53.05398941040039
2124,OR,37,1996,59.2053337097168,53.05398941040039
2125,OR,37,1997,53.167320251464844,55.06874465942383
2126,OR,37,1998,53.707618713378906,55.06874465942383
2127,OR,37,1999,58.50491714477539,54.323944091796875
2128,OR,37,2000,52.31438064575195,54.09758758544922
2129,OR,37,2001,63.159847259521484,56.76860809326172
2130,OR,37,2002,61.615875244140625,56.76860809326172
2131,OR,37,2003,58.01951599121094,57.03571701049805
2132,OR,37,2004,62.87963104248047,57.03571701049805
2133,OR,37,2005,62.442081451416016,62.11066436767578
2134,OR,37,2006,61.46369171142578,62.11066436767578
2135,OR,37,2007,71.63258361816406,65.85009765625
2136,OR,37,2008,74.06719970703125,65.85009765625
2137,OR,37,2009,62.59263610839844,68.36016082763672
2138,OR,37,2010,53.83182907104492,68.36016082763672
2139,OR,37,2011,55.75248336791992,61.70068359375
2140,OR,37,2012,57.40513229370117,61.70068359375
2141,OR,37,2013,55.31065368652344,65.00000762939453
2142,OR,37,2014,54.85599136352539,65.00000762939453
2143,OR,37,2015,54.702308654785156,67.98178100585938
2144,OR,37,2016,63.08698272705078,67.98178100585938
2145,OR,37,2017,,66.78907012939453
2146,PA,38,1960,70.50741577148438,61.961944580078125
2147,PA,38,1961,63.77390670776367,64.85478210449219
2148,PA,38,1962,63.77884292602539,64.85478210449219
2149,PA,38,1963,66.60301208496094,44.73033142089844
2150,PA,38,1964,67.71591186523438,44.73033142089844
2151,PA,38,1965,56.14398193359375,48.83000946044922
2152,PA,38,1966,54.45297622680664,48.83000946044922
2153,PA,38,1967,54.36751937866211,44.90229034423828
2154,PA,38,1968,61.84376525878906,44.90229034423828
2155,PA,38,1969,61.929893493652344,46.95200729370117
2156,PA,38,1970,57.99335479736328,46.95200729370117
2157,PA,38,1971,58.168670654296875,64.93354034423828
2158,PA,38,1972,56.94215774536133,64.93354034423828
2159,PA,38,1973,59.05624771118164,60.53420639038086
2160,PA,38,1974,57.31560516357422,61.12364959716797
2161,PA,38,1975,62.023258209228516,66.93319702148438
2162,PA,38,1976,54.120426177978516,67.17190551757812
2163,PA,38,1977,55.437255859375,65.41865539550781
2164,PA,38,1978,46.82581329345703,65.53376770019531
2165,PA,38,1979,49.93015670776367,47.164161682128906
2166,PA,38,1980,48.92887496948242,47.223548889160156
2167,PA,38,1981,50.383026123046875,44.241947174072266
2168,PA,38,1982,61.42207717895508,44.4427490234375
2169,PA,38,1983,57.638084411621094,43.25049591064453
2170,PA,38,1984,56.05510330200195,43.32512283325195
2171,PA,38,1985,57.097591400146484,43.141143798828125
2172,PA,38,1986,64.71923828125,42.99797439575195
2173,PA,38,1987,63.52940368652344,58.17717742919922
2174,PA,38,1988,65.74315643310547,57.35183334350586
2175,PA,38,1989,57.36204147338867,57.81147003173828
2176,PA,38,1990,54.54813766479492,57.88518142700195
2177,PA,38,1991,53.75746536254883,59.711334228515625
2178,PA,38,1992,57.38005828857422,59.87142562866211
2179,PA,38,1993,53.14864730834961,59.97653579711914
2180,PA,38,1994,47.93865203857422,56.38958740234375
2181,PA,38,1995,50.99113464355469,39.978431701660156
2182,PA,38,1996,49.27009201049805,39.504493713378906
2183,PA,38,1997,57.658531188964844,38.14889907836914
2184,PA,38,1998,56.29254913330078,38.14889907836914
2185,PA,38,1999,54.65074920654297,35.65943145751953
2186,PA,38,2000,47.4404182434082,35.747886657714844
2187,PA,38,2001,55.03071975708008,36.24047088623047
2188,PA,38,2002,51.88532257080078,36.24047088623047
2189,PA,38,2003,53.79531478881836,53.65574264526367
2190,PA,38,2004,54.228816986083984,53.36948776245117
2191,PA,38,2005,57.534210205078125,53.131465911865234
2192,PA,38,2006,60.50166320800781,53.131465911865234
2193,PA,38,2007,68.58189392089844,54.88837814331055
2194,PA,38,2008,71.82540130615234,54.88837814331055
2195,PA,38,2009,62.81153869628906,55.08269500732422
2196,PA,38,2010,54.851139068603516,54.587669372558594
2197,PA,38,2011,50.75238800048828,35.15764617919922
2198,PA,38,2012,48.60576629638672,35.15764617919922
2199,PA,38,2013,52.1844367980957,35.931217193603516
