,state_id,year,conventional_energy,green_energy,pop_ideology,gov_ideology,population,median_income,green_per_capita,conv_per_capita,energy_total,perc_green_energy,perc_conv_energy,perc_change_green
27,AK,2017,4714819.0,1785357.0,,40.99030303955078,739700.0,72231,2.413623090442071,6.373961065296742,6500176.0,0.27466287066688655,0.7253371293331135,-0.013853792091779171
28,AL,1990,57233744.0,22418389.0,33.835350036621094,42.68737030029297,4050055.0,42607,5.535329520216392,14.131596731402412,79652133.0,0.281453718257614,0.718546281742386,0.0
29,AL,1991,62154252.0,26632360.0,39.809078216552734,42.75114822387695,4099156.0,42852,6.497034999399877,15.162694954766298,88786612.0,0.299959187540572,0.700040812459428,0.018505469282957987
30,AL,1992,65576963.0,29657459.0,39.62211990356445,42.75114822387695,4154014.0,44323,7.139470160668693,15.78640876029787,95234422.0,0.3114153304778812,0.6885846695221188,0.011456142937309233
31,AL,1993,72479461.0,26857535.0,39.01713943481445,55.01969909667969,4214202.0,42017,6.373101004650465,17.1988578145993,99336996.0,0.2703678999916607,0.7296321000083393,-0.041047430486220504
32,AL,1994,68855378.0,31908879.0,39.41495132446289,59.41482162475586,4260229.0,44626,7.4899445546237065,16.162365450307952,100764257.0,0.31666862784489147,0.6833313721551085,0.04630072785323075
33,AL,1995,74935515.0,30253851.0,33.42988204956055,45.52942657470703,4296800.0,41646,7.041019130515733,17.439842440886242,105189366.0,0.2876132079738935,0.7123867920261066,-0.029055419870997967
34,AL,1996,80683455.0,40789456.0,29.399242401123047,45.52942657470703,4331102.0,47294,9.417800827595379,18.628851271570145,121472911.0,0.3357905533357968,0.6642094466642032,0.04817734536190332
35,AL,1997,78078637.0,41093307.0,36.02786636352539,47.83882141113281,4367935.0,48794,9.4079483783527,17.87541183648566,119171944.0,0.34482366923543684,0.6551763307645632,0.00903311589964001
36,AL,1998,80633528.0,39227370.0,41.35292053222656,47.83882141113281,4404701.0,54664,8.90579632987574,18.30624326146088,119860898.0,0.3272741207061539,0.6727258792938461,-0.01754954852928292
37,AL,1999,82004685.0,38651996.0,43.83360290527344,67.07746887207031,4430141.0,54600,8.724777834384955,18.510626411213547,120656681.0,0.3203469188747202,0.6796530811252798,-0.006927201831433694
